example_id,poison,n_words,base_ppl,score_span1_abs,score_spanmax_abs,score_spanmax_rel,top_span_max
alpaca-45758,0,20,100.5758,14.415245,14.415245,0.143327,"route"
alpaca-49867,0,13,43.6291,10.254723,14.128325,0.323828,"hero  night  bright  and flight"
alpaca-21524,0,26,35.3190,2.813091,14.123226,0.399876,"of three clauses"
alpaca-18779,0,13,53.0340,-8.836159,14.050591,0.264935,"Environmental sustainability"
alpaca-14498,0,15,50.6542,8.564808,14.045170,0.277276,"Name 3"
alpaca-09832,0,11,39.4302,13.919744,13.919744,0.353023,"Explain"
alpaca-00213,0,21,43.2233,-1.540447,13.717073,0.317354,"Gregoire in Zola's Germinal"
alpaca-03596,0,16,71.8009,8.292389,13.667515,0.190353,"'Just a Dream' by Nelly"
alpaca-27710,0,15,26.1180,13.325656,13.325656,0.510210,"ascneding"
alpaca-06259,0,14,69.0580,13.118992,13.118992,0.189971,"pronoun"
alpaca-27185,0,14,55.5942,6.077217,13.109447,0.235806,"reputable global"
alpaca-30174,0,7,542.0991,-232.661438,13.061035,0.024093,"customer portal."
alpaca-48538,0,10,123.2474,12.987503,12.987503,0.105378,"Spring"
alpaca-22495,0,14,43.0707,12.951021,12.951021,0.300692,"Sentence:"
alpaca-14611,0,10,72.6540,-5.907188,12.813286,0.176360,"Suggest two new"
alpaca-29560,0,12,38.9971,3.235741,12.321762,0.315966,"Science trivia"
alpaca-00219,0,29,39.3607,4.204445,12.180656,0.309462,"cry like only loneliness"
alpaca-19436,0,12,29.6692,-4.620373,12.160742,0.409877,"Solar energy"
alpaca-20075,0,15,62.2242,-1.035004,12.002663,0.192894,"Imagine you are"
alpaca-01563,0,6,489.6528,-136.397522,11.980530,0.024467,"Write five"
alpaca-02174,0,7,70.8786,11.932541,11.932541,0.168352,"chef."
alpaca-10514,0,12,38.4409,-11.933239,11.561462,0.300759,"Climate Change"
alpaca-06321,0,9,73.0859,11.468605,11.468605,0.156920,"Asian"
alpaca-35083,0,10,60.6878,11.467613,11.467613,0.188961,"seven"
alpaca-40557,0,18,33.7323,2.779503,11.423826,0.338661,"< noinput >"
alpaca-30999,0,12,43.0947,-6.896023,11.365025,0.263722,"global warming  ocean"
alpaca-15412,0,20,25.7686,4.720081,11.300802,0.438550,"in allowing"
alpaca-43197,0,19,25.8061,4.910082,11.297685,0.437791,"true. Boolean variable : x"
alpaca-08845,0,8,65.8764,11.254742,11.254742,0.170846,"grocery"
alpaca-13793,0,14,39.8341,-1.699310,11.135548,0.279548,"the version of"
alpaca-30051,0,9,41.5031,-7.668606,10.900833,0.262651,"beef curry."
alpaca-04476,0,15,21.5912,4.508514,10.885986,0.504186,"Generate the quivalent hexadecimal"
alpaca-15600,0,11,31.5208,10.747793,10.747793,0.340975,"Write"
alpaca-32682,0,17,39.0197,10.740618,10.740618,0.275261,"description"
alpaca-49093,0,13,43.0569,10.657070,10.657070,0.247511,"valid"
alpaca-35521,0,7,143.0658,-143.205399,10.637390,0.074353,"family picnic."
alpaca-02821,0,17,80.7538,10.622711,10.622711,0.131544,"referenced"
alpaca-23335,0,15,53.1293,10.595825,10.595825,0.199435,"https://examplearticle.com"
alpaca-05270,0,14,46.1572,3.012695,10.551682,0.228603,"between two different things. Differences"
alpaca-46414,0,20,70.8186,10.539558,10.539558,0.148825,"project"
alpaca-49533,0,16,43.4306,6.066227,10.514977,0.242110,"down 5 dialogues from"
alpaca-38484,0,9,159.6478,10.494232,10.494232,0.065734,"large"
alpaca-26756,0,10,56.0964,-14.871506,10.478786,0.186800,"paper plane"
alpaca-18923,0,16,80.9254,10.378700,10.378700,0.128250,"key"
alpaca-14107,0,20,50.3825,10.375034,10.375034,0.205925,"two"
alpaca-12579,0,9,64.1082,-20.479576,10.271061,0.160214,"No input"
alpaca-22878,0,15,36.3410,-3.814693,10.246456,0.281953,"given topic. The"
alpaca-10762,0,21,27.9664,0.256330,10.235687,0.366000,"lawyer  vampire  cellphone."
alpaca-50577,0,12,44.5599,-7.062321,10.195164,0.228797,"River  Trees  Stars"
alpaca-26420,0,6,73.1921,-51.677147,10.153046,0.138718,"non-alcoholic drinks"
alpaca-50776,0,9,101.3900,10.101448,10.101448,0.099630,"out"
alpaca-00131,0,10,25.9881,-0.962330,10.019346,0.385536,"these three numbers."
alpaca-10265,0,12,62.9383,-48.662643,9.937397,0.157891,"but feasible"
alpaca-42188,0,20,33.3079,1.906908,9.889553,0.296913,"IN the country"
alpaca-49814,0,14,38.4514,-9.354431,9.884062,0.257053,"tables and"
alpaca-50722,0,28,37.0174,5.428110,9.865393,0.266507,"No Communication"
alpaca-16360,0,15,32.0905,6.902370,9.793438,0.305182,"run  cycling"
alpaca-11284,0,8,131.5328,9.624992,9.624992,0.073176,"unique"
alpaca-41976,0,19,25.7841,5.126192,9.570612,0.371183,"Level up the following sample"
alpaca-21456,0,9,85.4659,9.488922,9.488922,0.111026,"house."
alpaca-15418,0,10,149.3365,-121.278839,9.423355,0.063101,"investing in"
alpaca-35316,0,16,51.9742,-10.321350,9.325165,0.179419,"meaning of"
alpaca-21322,0,15,29.4949,9.312551,9.312551,0.315735,"pineapple"
alpaca-25205,0,15,50.0087,-2.553310,9.251701,0.185002,"system. A"
alpaca-41880,0,19,35.5541,7.538137,9.129198,0.256769,"Generate 4"
alpaca-08517,0,14,82.2019,8.975433,8.975433,0.109188,"ten"
alpaca-42452,0,12,48.5526,8.904968,8.904968,0.183409,"US"
alpaca-27813,0,8,54.5115,8.877422,8.877422,0.162854,"appropriate"
alpaca-08282,0,15,63.5295,-13.579422,8.827412,0.138950,"basketball and refuses"
alpaca-43074,0,14,33.3278,6.129505,8.791042,0.263775,"about whales"
alpaca-05333,0,14,58.1781,-0.590874,8.708466,0.149686,"Velocity vs. Acceleration"
alpaca-50197,0,11,54.8083,-21.059700,8.651539,0.157851,"Write a concrete"
alpaca-39272,0,18,33.2097,-4.706181,8.582792,0.258442,"venues < noinput >"
alpaca-35548,0,15,25.6897,8.545317,8.545317,0.332636,"age"
alpaca-03809,0,24,34.4093,0.509155,8.527851,0.247835,"their newest rumors of"
alpaca-20556,0,12,24.8049,-14.200687,8.472736,0.341575,"the words"
alpaca-01737,0,9,58.9498,5.934643,8.398918,0.142476,"celebrity. Beyonce"
alpaca-04626,0,21,39.2747,-0.610126,8.305386,0.211469,"Rate the given"
alpaca-09550,0,8,82.5815,8.189903,8.189903,0.099174,"cat."
alpaca-48620,0,10,56.4074,-31.161015,8.100155,0.143601,"twentieth century"
alpaca-29537,0,22,48.4963,7.964035,7.964035,0.164219,"input"
alpaca-14942,0,10,24.8546,7.940357,7.940357,0.319472,"pattern"
alpaca-44574,0,44,37.0863,7.898478,7.898478,0.212976,"Millinial"
alpaca-16092,0,19,43.6000,7.886196,7.886196,0.180876,"hastily"
alpaca-07550,0,15,63.3290,7.856277,7.856277,0.124055,"this"
alpaca-01042,0,12,30.0403,-1.270380,7.808191,0.259924,"Fashion Trends"
alpaca-18316,0,17,47.6846,5.721855,7.753723,0.162604,"XYZ device"
alpaca-34148,0,12,34.2828,7.714838,7.714838,0.225035,"correctly"
alpaca-32189,0,11,34.4795,7.677498,7.677498,0.222668,"sixth"
alpaca-33236,0,22,25.0167,-1.735489,7.671181,0.306643,"Nobody understands me."
alpaca-25040,0,8,20.4035,-3.131809,7.649416,0.374908,"Identify three prime"
alpaca-24213,0,12,56.3685,7.649006,7.649006,0.135696,"plate "
alpaca-37086,0,10,48.0450,7.543934,7.543934,0.157018,"amount"
alpaca-27215,0,9,95.2276,7.445389,7.445389,0.078185,"constructive"
alpaca-07458,0,30,31.5105,7.417822,7.417822,0.235408,"given"
alpaca-38075,0,12,73.1849,7.379166,7.379166,0.100829,"handwriting"
alpaca-40950,0,13,21.6984,-0.355459,7.217269,0.332617,"the formula S=3N-6 N=12"
alpaca-32653,0,12,28.5488,7.190632,7.190632,0.251872,"rhetorical"
alpaca-03551,0,12,33.9064,7.180214,7.180214,0.211766,"remote"
alpaca-24955,0,14,31.6160,2.104759,7.045891,0.222858,"Add five entries"
alpaca-06412,0,18,23.7169,1.514225,6.895235,0.290731,"the importance"
alpaca-17624,0,10,99.3221,6.734146,6.734146,0.067801,"Name"
alpaca-34751,0,14,37.5671,5.909388,6.719490,0.178867,"an idea for"
alpaca-47559,0,10,36.9161,6.653097,6.653097,0.180222,"letters."
alpaca-17413,0,15,26.8517,-4.995665,6.621166,0.246583,"Train a model using this"
alpaca-20352,0,21,28.0657,6.618563,6.618563,0.235824,"targeted"
alpaca-35734,0,11,21.4882,6.614866,6.614866,0.307837,"key"
alpaca-00921,0,18,32.9100,0.620289,6.556871,0.199237,"courage  sun  darkness"
alpaca-50924,0,13,41.0541,6.532265,6.532265,0.159114,"Jazz"
alpaca-40386,0,23,40.7176,6.512272,6.512272,0.159937,"Shoes"
alpaca-51806,0,23,15.7616,0.293864,6.443563,0.408813,"Get the assistant to"
alpaca-41491,0,12,50.8384,1.099941,6.407887,0.126044,"No input"
alpaca-30269,0,12,75.0701,6.145699,6.390015,0.085121,"information privacy"
alpaca-13440,0,13,62.1047,6.344261,6.344261,0.102154,"quirky"
alpaca-43457,0,12,70.2936,1.462700,6.331585,0.090073,"Use ASCII characters."
alpaca-05100,0,12,46.5610,6.311062,6.311062,0.135544,"noon'."
alpaca-03844,0,15,24.6803,2.748528,6.258860,0.253598,"daily free hour."
alpaca-14834,0,16,52.4826,6.213638,6.213638,0.118394,"printer"
alpaca-33718,0,11,38.4603,6.182842,6.182842,0.160759,"online"
alpaca-21438,0,17,42.2437,6.094044,6.094044,0.144259,"personal"
alpaca-11896,0,21,58.2882,6.067181,6.067181,0.104089,"dangerous"
alpaca-14796,0,8,69.1014,-118.450333,6.062325,0.087731,"steps for goal setting."
alpaca-07306,0,11,84.2212,6.059471,6.059471,0.071947,"sample"
alpaca-16737,0,17,38.8161,6.013966,6.013966,0.154935,"climate."
alpaca-00720,0,40,40.7181,6.012894,6.012894,0.147671,"published"
alpaca-40149,0,14,40.3940,-11.502590,5.992989,0.148363,"detect and"
alpaca-13201,0,10,49.2981,5.921379,5.921379,0.120114,"natural"
alpaca-51559,0,15,41.7573,5.864384,5.864384,0.140440,"creative"
alpaca-28033,0,10,40.2575,-6.621273,5.818676,0.144536,"'gatekeeper'  'distribution'"
alpaca-16592,0,7,328.9159,5.788666,5.788666,0.017599,"website"
alpaca-29520,0,12,36.2814,3.534142,5.691666,0.156876,"Supply and demand"
alpaca-01774,0,15,70.1504,5.657166,5.657166,0.080643,"original"
alpaca-18163,0,14,15.5706,1.144557,5.626513,0.361355,"Genre: Romance"
alpaca-19081,0,9,79.0467,-12.452003,5.601280,0.070860,"Give five"
alpaca-44325,0,15,19.3852,5.518366,5.518366,0.284669,"the"
alpaca-01973,0,10,63.3328,-34.155258,5.433434,0.085792,"'books and pencils'"
alpaca-45591,0,20,84.8001,4.318413,5.379379,0.063436,"visited by a hypothetical user"
alpaca-03824,0,8,69.6666,-9.829170,5.360779,0.076949,"wifi network"
alpaca-19293,0,9,70.4717,5.332169,5.332169,0.075664,"plausible"
alpaca-13964,0,20,31.0588,5.263945,5.263945,0.169483,"yesterday"
alpaca-02311,0,17,24.7798,1.741302,5.228395,0.210994,"unnecessary words from"
alpaca-00327,0,13,81.5834,-19.655167,5.182655,0.063526,"Suggest a sentence that follows"
alpaca-45629,0,17,34.6580,-1.913841,5.162491,0.148955,"drinking the milk then"
alpaca-48662,0,16,42.2262,5.161354,5.161354,0.122231,"Research"
alpaca-34354,0,15,23.7563,5.090076,5.090076,0.214262,"andstate"
alpaca-16661,0,14,17.5378,5.088527,5.088527,0.290146,"abc"
alpaca-10364,0,11,66.7739,5.077328,5.077328,0.076038,"reference"
alpaca-13119,0,24,44.4494,-1.255440,5.068081,0.114019,"by Sweet"
alpaca-47550,0,11,31.6201,5.030621,5.030621,0.159096,"descriptive"
alpaca-45506,0,21,33.7655,4.990664,4.990664,0.147803,"to"
alpaca-48697,0,31,23.4908,0.032038,4.988174,0.212346,"rising. Tone: Positive"
alpaca-06971,0,9,121.1528,4.893349,4.893349,0.040390,"online"
alpaca-39547,0,26,25.8785,1.828630,4.886677,0.188831,"Output the sentence."
alpaca-28288,0,16,87.2538,4.868141,4.868141,0.055793,"outfit"
alpaca-49963,0,10,75.7034,-76.469292,4.706245,0.062167,"a company"
